School Name – City,School Name,District,ESD,Sister school,Street Address,City,State,Zip,County,Phone,Lowest grade,Highest grade,Grade level,Governance,Type of school,State ID,Contact person role,Contact person name,Email,ODS notes,"If your school is not listed above, please enter its name below.",Did your school participate in Outdoor School in the 2016-2017 school year?,How many students from your school participated in Outdoor School in the 2016-2017 school year?,Which grades participated in Outdoor School in the 2016-2017 school year?,Which camp or camps did students at your school attend for Outdoor School in the 2016-2017 school year?,How many DAYS does your Outdoor School program last?,How many NIGHTS does your Outdoor School program last?,Which provider(s) do you contract with to plan your Outdoor School experience?,Does your Outdoor School program have an academic component?,Who develops the curriculum that you use for Outdoor School?,"In addition to classroom teachers, who do you use to staff your Outdoor School program?",To what degree are you able to make accommodations to ensure that the Outdoor School program is accessible for all students?,How many years has your school sent students to Outdoor School?,Has your school sent students to Outdoor School prior to the 2016-2017 school year?,When was the last time that students participated in Outdoor School?,Which camp or camps did students attend the last time your school participated in Outdoor School?,Why did your school stop sending students to Outdoor School?,Is your school interested in starting an Outdoor School program in the future?,When do you think your might be ready to start an Outdoor School program?,"How familiar, if at all, are you with Measure 99, which passed in November 2016 and dedicates funding to schools to send students to Outdoor School?","How familiar, if at all, are you with the role that Oregon State Extension plays in funding Outdoor School programs?",Do you have any other comments about Outdoor School?,Notes,2015-16 Total Enrollment,2016-17 Total Enrollment,2016-17  Male,"2016-17 
% Male",2016-17 Female,"2016-17
% Female",2016-17 American Indian/ Alaska Native,"2016-17
% American Indian/ Alaska Native ",2016-17 Asian,"2016-17
% Asian ",2016-17 Native Hawaiian/ Pacific Islander,"2016-17 
% Native Hawaiian/ Pacific Islander ",2016-17 Black/African American,"2016-17
% Black/ African American ",2016-17 Hispanic/ Latino,"2016-17
% Hispanic/ Latino",2016-17 White,"2016-17 
% White ",2016-17 Multiracial,"2016-17
% Multiracial ",2016-17 Kindergarten,2016-17 Grade One,2016-17 Grade Two,2016-17 Grade Three,2016-17 Grade Four,2016-17 Grade Five,2016-17 Grade Six,2016-17 Grade Seven,2016-17 Grade Eight,2016-17 Grade Nine,2016-17 Grade Ten,2016-17 Grade Eleven,2016-17 Grade Twelve,Done,Sister school (opposite direction)
Long Creek School – Long Creek,Long Creek School,Long Creek SD 17,Grant ESD,,375 E Main,Long Creek,OR,97856,Grant,541-421-3896,PK,12,Other,Public,Regular School,3366,Principal,Del Dykstra,dykstrad@grantesd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,34,30,19,63.3%,11,36.7%,2,6.7%,4,13.3%,,0%,,0%,2,6.7%,18,60%,4,13.3%,1,,,,1,3,2,2,4,2,2,8,5,false,
Lookingglass Elementary School – Roseburg,Lookingglass Elementary School,Winston-Dillard SD 116,Douglas ESD,,7421 Lookingglass Rd,Roseburg,OR,97470,Douglas,541-679-3006,K,6,Elementary,Public,Regular School,313,Principal,Oriole Inkster,inkstero@wdsd.org,,,Yes,25,5th grade,Hancock Field Station,5,4,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, Parent volunteers",We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,2,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,Help in funding would be great. Our district does not contribute any funds for the program. Students and families do all of the fundraising to support their trip. $260 per student.,,158,191,105,55%,86,45%,3,1.6%,,0%,,0%,3,1.6%,8,4.2%,172,90.1%,5,2.6%,25,27,25,34,32,23,25,,,,,,,false,
Lorna Byrne Middle School – Cave Junction,Lorna Byrne Middle School,Three Rivers/Josephine County SD,Southern Oregon ESD,,101 S Junction Ave,Cave Junction,OR,97523,Josephine,541-592-2163,5,8,Middle,Public,Regular School,449,Principal,Scott Polen,scott.polen@threerivers.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,317,299,150,50.2%,149,49.8%,13,4.3%,1,0.3%,,0%,3,1%,21,7%,243,81.3%,18,6%,,,,,,66,73,80,80,,,,,false,
Lourdes School – Scio,Lourdes School,Scio SD 95,Linn Benton Lincoln ESD,,39059 Jordan Rd,Scio,OR,97374,Linn,503-394-3340,1,8,Other,Public,Charter,2994,Principal,Linda Duman,lourdes@smt-net.com,,,,,,,,,,,,,,,,,,,,,,,,,48,49,24,49%,25,51%,,0%,,0%,,0%,,0%,3,6.1%,45,91.8%,1,2%,,5,6,9,9,3,7,5,5,,,,,false,
Lowrie Primary School – Wilsonville,Lowrie Primary School,West Linn-Wilsonville SD 3J,Clackamas ESD,,28995 SW Brown Rd,Wilsonville,OR,97070,Clackamas,503-673-7700,PK,5,Elementary,Public,Regular School,5056,Principal,Patrick Meigs,meigsp@wlwv.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,602,571,287,50.3%,284,49.7%,,0%,30,5.3%,3,0.5%,5,0.9%,144,25.2%,344,60.2%,45,7.9%,85,100,91,103,110,82,,,,,,,,false,
Luckiamute Valley Charter School – Monmouth,Luckiamute Valley Charter School,Dallas SD 2,Willamette ESD,,12975 Kings Valley Hwy,Monmouth,OR,97361,Polk,503-838-1933,K,8,Middle,Public,Charter School,3461,Director,Steven Diehl,,,,Yes,18,6th grade,Camp Tapawingo,3,2,Perrydale Middle School,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS","School staff develop the curriculum, We use curriculum developed by an outside provider","Program provider staff, State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,4,,,,,,,A BIT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,As far as I know our school has participate in Outdoor School for the last 4 years. It may have been longer.,,194,196,91,46.4%,105,53.6%,5,2.6%,,0%,2,1%,,0%,14,7.1%,158,80.6%,17,8.7%,20,24,26,23,24,25,18,20,16,,,,,true,
Lundy Elementary School – Lowell,Lundy Elementary School,Lowell SD 71,Lane ESD,,45 S Moss St,Lowell,OR,97452,Lane,541-937-2105,K,6,Elementary,Public,Regular School,598,Principal,Johnie Matthews,jmatthews@lowell.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,122,146,66,45.2%,80,54.8%,1,0.7%,,0%,,0%,3,2.1%,17,11.6%,105,71.9%,20,13.7%,18,24,18,20,27,22,17,,,,,,,false,
Lynch Meadows Elementary School – Portland,Lynch Meadows Elementary School,Centennial SD 28J,Multnomah ESD,,18009 SE Brooklyn St,Portland,OR,97236,Multnomah,503-762-3208,K,6,Elementary,Public,Regular School,959,Principal,Karen Weinert,Karen_weinert@csd28j.org,,,,,,,,,,,,,,,,,,,,,,,,,507,436,215,49.3%,221,50.7%,1,0.2%,52,11.9%,20,4.6%,16,3.7%,150,34.4%,173,39.7%,24,5.5%,49,60,55,76,68,59,69,,,,,,,false,
Lynch View Elementary School – Portland,Lynch View Elementary School,Centennial SD 28J,Multnomah ESD,,1546 SE 169th Pl,Portland,OR,97233,Multnomah,503-762-3203,K,6,Elementary,Public,Regular School,964,Principal,Jim Mangan,jim_mangan@centennial.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,528,507,243,47.9%,264,52.1%,,0%,55,10.8%,15,3%,34,6.7%,162,32%,205,40.4%,36,7.1%,65,69,88,70,74,75,66,,,,,,,false,
Lynch Wood Elementary School – Portland,Lynch Wood Elementary School,Centennial SD 28J,Multnomah ESD,,3615 SE 174th St,Portland,OR,97236,Multnomah,503-762-3204,K,6,Elementary,Public,Regular School,965,Principal,Marin Miller,marin_miller@csd28j.org,,,,,,,,,,,,,,,,,,,,,,,,,515,505,255,50.5%,250,49.5%,4,0.8%,85,16.8%,7,1.4%,41,8.1%,148,29.3%,196,38.8%,24,4.8%,77,80,66,77,69,65,71,,,,,,,false,
M A Lynch Elementary School – Redmond,M A Lynch Elementary School,Redmond SD 2J,High Desert ESD,,1314 SW Kalama Ave,Redmond,OR,97756,Deschutes,541-923-4876,1,5,Elementary,Public,Regular School,259,Principal,Rayna Nordstrom,rayna.nordstrom@redmondschools.org,,,Yes,73,5th grade,Camp Tamarack,3,2,Camp Tamarack,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,,,,,,,,,,,,,,,,,173,46.4%,4,1.1%,1,0.3%,,0%,1,0.3%,108,29%,241,64.6%,18,4.8%,,74,86,65,65,83,,,,,,,,false,
Ma'Ayan Ha Torah Day School – Portland,Ma'Ayan Ha Torah Day School,,,,PO Box 19452,Portland,OR,97280,Multnomah,503-245-5568,PK,8,Other,Private,Regular School,,,,info@maayanpdx.org,,,No,,,,,,,,,,,,No,,,,A BIT interested,2017/2018 school year,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Mabel Rush Elementary School – Newberg,Mabel Rush Elementary School,Newberg SD 29J,Willamette ESD,,1441 Deborah Rd,Newberg,OR,97132,Yamhill,503-554-4450,K,5,Elementary,Public,Regular School,1219,Principal,Lisa Callahan,callahanl@newberg.k12.or.us,,,Yes,93,5th grade,Twin Rocks Friends Conference,3,2,Twin Rocks Friends Conference,"Yes, and it CONNECTS TO STATE STANDARDS",It's a combo between our school and organizations we're working with,"Program provider staff, Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,A BIT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,"This is a great program and needs to be funded at a level that supports all students in attending.  Three days is enough though.  One whole week would be too much to ask of parent volunteers and teachers who would have to be away from their families, jobs, etc.",,519,520,275,52.9%,245,47.1%,4,0.8%,9,1.7%,,0%,5,1%,108,20.8%,364,70%,30,5.8%,82,75,74,84,111,94,,,,,,,,false,
Madras Primary School – Madras,Madras Primary School,Jefferson County SD 509J,Jefferson ESD,,215 SE 10th St,Madras,OR,97741,Jefferson,541-475-3520,K,5,Elementary,Public,Regular School,430,Principal,Deborah Hunt,dhunt@509j.net,,,,,,,,,,,,,,,,,,,,,,,,,368,408,211,51.7%,197,48.3%,37,9.1%,2,0.5%,,0%,1,0.2%,163,40%,192,47.1%,13,3.2%,63,68,78,64,58,77,,,,,,,,false,
Madrona Elementary School – Grants Pass,Madrona Elementary School,Three Rivers/Josephine County SD,Southern Oregon ESD,,520 Detrick Dr,Grants Pass,OR,97527,Josephine,541-476-6624,K,5,Elementary,Public,Regular School,450,Principal,Miranda Carpenter,miranda.carpenter@threerivers.k12.or.us,,,Yes,55,4th grade,,1,0,Siskiyou Field Institute,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,SOMEWHAT FAMILIAR with Measure 99,SOMEWHAT FAMILIAR with the role OSU Extension plays,,,342,376,192,51.1%,184,48.9%,4,1.1%,3,0.8%,2,0.5%,1,0.3%,37,9.8%,321,85.4%,8,2.1%,68,42,69,74,60,63,,,,,,,,true,
Madrone Trail Public Charter School – Medford,Madrone Trail Public Charter School,Medford SD 549C,Southern Oregon ESD,,3070 Ross Ln,Medford,OR,97502,Jackson,541-842-3657,K,8,Other,Public,Regular School,4593,Principal,"Karen Bailey, Joe Frodsham","Karen.Bailey@medford.k12.or.us, joe.frodsham@medford.k12.or.us",,,,,,,,,,,,,,,,,,,,,,,,,231,236,104,44.1%,132,55.9%,,0%,3,1.3%,,0%,1,0.4%,20,8.5%,196,83.1%,16,6.8%,20,25,25,26,26,25,25,43,21,,,,,false,
Maimonides Jewish Day School – Portland,Maimonides Jewish Day School,,,,6612 SW Capitol Hwy,Portland,OR,97239,Multnomah,503-977-7850,PK,5,Elementary,Private,Regular School,,,,RWilhelm@PortlandJewishSchool.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Malabon Elementary School – Eugene,Malabon Elementary School,Bethel SD 52,Lane ESD,,1380 Taney St,Eugene,OR,97402,Lane,541-461-6421,K,5,Elementary,Public,Regular School,586,Principal,Maureen Spence,maureen.spence@bethel.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,402,451,229,50.8%,222,49.2%,5,1.1%,4,0.9%,3,0.7%,4,0.9%,100,22.2%,305,67.6%,30,6.7%,76,67,79,80,77,72,,,,,,,,false,
Malin Elementary School – Malin,Malin Elementary School,Klamath County SD,Southern Oregon ESD,,2153 Third St,Malin,OR,97632,Klamath,541-723-2261,K,6,Elementary,Public,Regular School,475,Principal,Larita Ongman,ongmanl@kcsd.k12.or.us,,,Yes,,"5th grade, 6th grade",Coastal Discovery Center at Camp Gray,3,2,OMSI,"Yet, but it DOES NOT CONNECT TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, Parent volunteers",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,1,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,I want to be able to take our students to any outdoor school we choose.,,134,136,76,55.9%,60,44.1%,4,2.9%,,0%,,0%,,0%,81,59.6%,51,37.5%,,0%,18,20,18,19,20,19,22,,,,,,,true,
Manzanita Elementary School – Grants Pass,Manzanita Elementary School,Three Rivers/Josephine County SD,Southern Oregon ESD,,310 San Francisco St,Grants Pass,OR,97526,Josephine,541-479-6433,K,5,Elementary,Public,Regular School,451,Principal,Renee Hults,renee.hults@threerivers.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,417,406,204,50.2%,202,49.8%,6,1.5%,2,0.5%,2,0.5%,1,0.2%,24,5.9%,343,84.5%,28,6.9%,59,65,52,54,94,82,,,,,,,,false,
Maple Elementary School – Springfield,Maple Elementary School,Springfield SD 19,Lane ESD,,2109  J  St,Springfield,OR,97477,Lane,541-744-6395,K,5,Elementary,Public,Regular School,550,Principal,Sheila Minney,sheila.minney@springfield.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,347,372,189,50.8%,183,49.2%,4,1.1%,3,0.8%,4,1.1%,4,1.1%,95,25.5%,235,63.2%,27,7.3%,73,63,61,62,52,61,,,,,,,,false,
Mapleton Elementary School – Mapleton,Mapleton Elementary School,Mapleton SD 32,Lane ESD,,10870 E Mapleton Rd,Mapleton,OR,97453,Lane,541-268-4471,K,6,Elementary,Public,Regular School,568,Principal,Jodi O'Mara,jomara@mapleton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,78,74,30,40.5%,44,59.5%,,0%,,0%,,0%,,0%,5,6.8%,61,82.4%,8,10.8%,10,9,15,6,13,11,10,,,,,,,false,
Maplewood Elementary School – Portland,Maplewood Elementary School,Portland SD 1J,Multnomah ESD,,7452 SW 52nd Ave,Portland,OR,97219,Multnomah,503-916-6308,K,5,Elementary,Public,Regular School,873,Principal,Karen Bailey,jbailey2@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,359,384,212,55.2%,172,44.8%,1,0.3%,6,1.6%,2,0.5%,6,1.6%,27,7%,301,78.4%,41,10.7%,70,74,61,49,66,64,,,,,,,,false,
Marcola Elementary School – Marcola,Marcola Elementary School,Marcola SD 79J,Lane ESD,,92250 School House Rd,Marcola,OR,97454,Lane,541-933-2411,K,6,Elementary,Public,Regular School,603,Principal,Tamara White,twhite@marcola.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,110,138,78,56.5%,60,43.5%,1,0.7%,,0%,,0%,,0%,13,9.4%,115,83.3%,9,6.5%,25,15,18,19,23,21,17,,,,,,,false,
Margaret Scott Elementary School – Portland,Margaret Scott Elementary School,Reynolds SD 7,Multnomah ESD,,14700 NE Sacramento St,Portland,OR,97230,Multnomah,503-255-2031,K,5,Elementary,Public,Regular School,948,Principal,Debbie Nicolai,dnicolai@rsd7.net,,,,,,,,,,,,,,,,,,,,,,,,,483,472,242,51.3%,230,48.7%,4,0.8%,72,15.3%,28,5.9%,99,21%,121,25.6%,101,21.4%,47,10%,75,80,82,89,75,71,,,,,,,,false,
Mari-Linn Elementary School – Lyons,Mari-Linn Elementary School,North Santiam SD 29J,Willamette ESD,,641 5th St,Lyons,OR,97358,Linn,503-859-2154,K,8,Elementary,Public,Regular School,656,Principal,Jeri Harbison,jeri.harbison@nsantiam.k12.or.us,,,Yes,25,5th grade,OMSI,4,3,OMSI,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Parent volunteers,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,SOMEWHAT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,We highly value the outdoor school experience.,,220,219,107,48.9%,112,51.1%,1,0.5%,,0%,,0%,2,0.9%,6,2.7%,200,91.3%,10,4.6%,20,31,24,27,25,16,23,30,23,,,,,true,
Markham Elementary School – Portland,Markham Elementary School,Portland SD 1J,Multnomah ESD,,10531 SW Capitol Hwy,Portland,OR,97219,Multnomah,503-916-5681,K,5,Elementary,Public,Regular School,1278,Principal,Shawn Garnett,sgarnett@pps.net,,,,,,,,,,,,,,,,,,,,,,,,,382,418,218,52.2%,200,47.8%,1,0.2%,6,1.4%,8,1.9%,114,27.3%,33,7.9%,221,52.9%,35,8.4%,78,66,73,71,73,57,,,,,,,,false,
Martin Luther King Jr. School – Portland,Martin Luther King Jr. School,Portland SD 1J,Multnomah ESD,,4906 NE 6th Ave,Portland,OR,97211,Multnomah,503-916-6456,PK,8,Other,Public,Regular School,866,Principal,Jill Sage,jsage1@pps.net,,,Yes,20,6th grade,Camp Namanu,5,4,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,Program provider staff,We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,20,,,,,,,SOMEWHAT FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,We love it and it has a great impact,,382,366,168,45.9%,198,54.1%,2,0.5%,7,1.9%,2,0.5%,152,41.5%,106,29%,43,11.7%,54,14.8%,61,51,57,58,43,35,20,16,25,,,,,true,
Mary Woodward Elementary School – Tigard,Mary Woodward Elementary School,Tigard-Tualatin SD 23J,Northwest Regional ESD,,12325 SW Katherine St,Tigard,OR,97223,Washington,503-431-4700,K,5,Elementary,Public,Regular School,1137,Principal,Jerry Nihill,jnihill@ttsd.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,505,515,265,51.5%,250,48.5%,3,0.6%,41,8%,4,0.8%,7,1.4%,70,13.6%,331,64.3%,59,11.5%,73,82,75,89,95,101,,,,,,,,false,
Marysville Elementary School – Portland,Marysville Elementary School,Portland SD 1J,Multnomah ESD,,7733 SE Raymond St,Portland,OR,97206,Multnomah,503-916-6363,K,8,Elementary,Public,Regular School,875,Principal,Lana Penley,lpenley@pps.net,,,Yes,34,6th grade,Camp Howard,6,5,Multnomah County ESD,"Yes, and it CONNECTS TO STATE STANDARDS",,,,,,,,,,,,,,,390,358,170,47.5%,188,52.5%,5,1.4%,83,23.2%,15,4.2%,47,13.1%,66,18.4%,124,34.6%,18,5%,36,50,43,52,31,34,40,34,38,,,,,true,
Maupin Elementary School – Maupin,Maupin Elementary School,South Wasco County SD 1,Columbia Gorge ESD,,308 Deschutes Ave,Maupin,OR,97037,Wasco,541-395-2665,K,6,Elementary,Public,Regular School,1108,Principal,Lynn Cowdrey,lynnc@swasco.net,,,Yes,18,6th grade,Wallowa Lake Camp,6,5,Self,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,5,,,,,,,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,"All kids need hands on, fun outdoor experiences that encourage them to take better care of our earth and builds on their interests in the outdoors. The easiest way to ensure kids become passionate about saving and taking care of our Earth and everything on it is to get them to fall in love with it. People don't distory what they love, they distroy what they don't know and/or hate.",,121,129,63,48.8%,66,51.2%,7,5.4%,,0%,,0%,,0%,19,14.7%,95,73.6%,8,6.2%,17,19,22,23,15,13,20,,,,,,,true,
May Roberts Elementary School – Ontario,May Roberts Elementary School,Ontario SD 8C,Malheur ESD Region 14,,590 NW 8th St,Ontario,OR,97914,Malheur,541-889-5379,K,6,Elementary,Public,Regular School,696,Principal,Marshell Hooker,mhooker@ontario.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,393,375,201,53.6%,174,46.4%,2,0.5%,2,0.5%,,0%,8,2.1%,269,71.7%,83,22.1%,11,2.9%,50,44,46,59,41,43,92,,,,,,,false,
May Street Elementary School – Hood River,May Street Elementary School,Hood River County SD,Columbia Gorge ESD,Hood River Middle School – Hood River,911 May St,Hood River,OR,97031,Hood River,541-386-2656,K,5,Elementary,Public,Regular School,362,Principal,Kelly Beard,kelly.beard@hoodriver.k12.or.us,,,No (sister school did),,,,,,,,,,,,,,,,,,,,,,495,493,248,50.3%,245,49.7%,5,1%,7,1.4%,1,0.2%,7,1.4%,145,29.4%,306,62.1%,22,4.5%,68,89,64,72,100,100,,,,,,,,false,Hood River Middle School – Hood River
McBride Elementary School – St Helens,McBride Elementary School,St Helens SD 502,Northwest Regional ESD,,2774 Columbia Blvd,St Helens,OR,97051,Columbia,503-366-7700,K,6,Elementary,Public,Regular School,182,Principal,Lisa Rawlings,lisar@sthelens.k12.or.us,,,Yes,90,6th grade,Cedar Ridge,3,2,Northwest Regional ESD,"Yes, and it CONNECTS TO STATE STANDARDS",NWRESD Outdoor School Staff,,We are ABLE TO MAKE SOME accommodations so our program is accessible for all students,,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"Best program!  This is so good for students.  In Multnomah County, where I taught sixth grade for over 20 years, we took students to a program Sunday-Friday.  In my opinion, that should be for all students.",,630,622,305,49%,317,51%,7,1.1%,4,0.6%,4,0.6%,3,0.5%,42,6.8%,522,83.9%,40,6.4%,87,81,102,88,92,85,87,,,,,,,true,
McCornack Elementary School – Eugene,McCornack Elementary School,Eugene SD 4J,Lane ESD,,1968 Brittany Dr,Eugene,OR,97405,Lane,541-790-5800,K,5,Elementary,Public,Regular School,522,Principal,Londa Rochholz,rochholz@4j.lane.edu,,,Yes,64,5th grade,Camp Lutherwood Oregon,2,0,Whole Earth Nature School,"Yes, and it CONNECTS TO STATE STANDARDS",We use curriculum developed by an outside provider,"Program provider staff, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,1,,,,,,,VERY FAMILIAR with Measure 99,A BIT FAMILIAR with the role OSU Extension plays,,,359,360,180,50%,180,50%,3,0.8%,10,2.8%,3,0.8%,12,3.3%,87,24.2%,208,57.8%,37,10.3%,64,48,59,63,61,65,,,,,,,,true,
McGovern Elementary School – Winston,McGovern Elementary School,Winston-Dillard SD 116,Douglas ESD,,600 NW Elwood,Winston,OR,97496,Douglas,541-679-3003,4,6,Elementary,Public,Regular School,311,Principal,Erika Pinkerton,pinkertone@wdsd.org,,,No,,,,,,,,,,,,I'm not sure,,,,A BIT interested,"We do an Outdoor School at Camp Myrtlewood in Bridge, Oregon",NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,"The 6th grade team has been putting together an outdoor program for our students for the past several years.  While we really appreciate all the benefits our students receive, it is a lot of work to put together.  It would be nice to receive asstance in the form of ideas,  presenters and money.
Thank You
Donna Rexford",,238,254,127,50%,127,50%,6,2.4%,,0%,,0%,4,1.6%,22,8.7%,206,81.1%,16,6.3%,,,,,84,94,76,,,,,,,false,
McKay Creek Elementary School – Pendleton,McKay Creek Elementary School,Pendleton SD 16,InterMountain ESD,Sunridge Middle School – Pendleton,1539 SW 44th St,Pendleton,OR,97801,Umatilla,541-966-3000,K,5,Elementary,Public,Regular School,1047,Principal,Ronda Smith,ronda.smith@pendleton.k12.or.us,,,No (sister school did),,,,,,,,,,,,No,,,,NOT AT ALL interested,6th grade does it in our district.  Our school will never participate,VERY FAMILIAR with Measure 99,VERY FAMILIAR with the role OSU Extension plays,Outdoor school happens in 6th grade in our district.  6th grade is at our Middle School. Our elementary schools will NOT participate in outdoor school.  We have day trips to connect with wetland projects.,,291,276,147,53.3%,129,46.7%,14,5.1%,2,0.7%,,0%,1,0.4%,25,9.1%,215,77.9%,19,6.9%,,54,53,52,61,56,,,,,,,,false,Sunridge Middle School – Pendleton
McKay Elementary School – Beaverton,McKay Elementary School,Beaverton SD 48J,Northwest Regional ESD,,7485 SW Scholls Ferry Rd,Beaverton,OR,97008,Washington,503-356-2170,K,5,Elementary,Public,Regular School,1168,Principal,Erin Kollings,erin_kollings@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,371,311,166,53.4%,145,46.6%,2,0.6%,14,4.5%,3,1%,10,3.2%,109,35%,149,47.9%,24,7.7%,29,48,48,69,71,46,,,,,,,,false,
McKenzie Elementary School – Finn Rock,McKenzie Elementary School,McKenzie SD 68,Lane ESD,,51187 Blue River Dr,Finn Rock,OR,97488,Lane,541-822-3315,K,8,Elementary,Public,Regular School,593,Principal,Nathaniel Tompkins,ltompkins@mckenzie.k12.or.us,,,Yes,30,"5th grade, 6th grade",Camp White Branch,3,2,Self,"Yes, and it CONNECTS TO STATE STANDARDS",School staff develop the curriculum,"State agency or community resource experts (e.g. watershed council personnel or Fish & Wildlife staff), Parent volunteers, High school mentors",We are ABLE TO MAKE ALL NECESSARY accommodations so our program is accessible for all students,30,,,,,,,A BIT FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,132,124,72,58.1%,52,41.9%,3,2.4%,1,0.8%,,0%,1,0.8%,18,14.5%,92,74.2%,9,7.3%,15,19,10,9,15,13,15,11,17,,,,,true,
Mckenzie Montessori Institute – Springfield,Mckenzie Montessori Institute,,,,4181 E St,Springfield,OR,97478,Lane,541-228-5352,PK,3,Elementary,Private,Regular School,,,,rosind123@aol.com,,,No,,,,,,,,,,,,No,,,,VERY interested,2017/2018 school year,NOT AT ALL FAMILIAR with Measure 99,NOT AT ALL FAMILIAR with the role OSU Extension plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
McKinley Elementary School – Beaverton,McKinley Elementary School,Beaverton SD 48J,Northwest Regional ESD,,1500 NW 185th Ave,Beaverton,OR,97006,Washington,503-356-2180,K,5,Elementary,Public,Regular School,1169,Principal,Annie Pleau,ann_pleau@beaverton.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,664,633,317,50.1%,316,49.9%,2,0.3%,53,8.4%,7,1.1%,40,6.3%,251,39.7%,235,37.1%,45,7.1%,102,109,113,113,95,101,,,,,,,,false,
McKinley Elementary School – Salem,McKinley Elementary School,Salem-Keizer SD 24J,Willamette ESD,,466 McGilchrist St SE,Salem,OR,97302,Marion,503-399-3167,K,5,Elementary,Public,Regular School,750,Principal,Katie Shumway,shumway_kathleen@salkeiz.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,329,357,176,49.3%,181,50.7%,3,0.8%,4,1.1%,2,0.6%,6,1.7%,62,17.4%,260,72.8%,20,5.6%,56,53,73,66,55,54,,,,,,,,false,
McLoughlin Middle School – Medford,McLoughlin Middle School,Medford SD 549C,,,320 W SEcond St,Medford,OR,97501,Jackson,,6,8,Middle,Public,Regular School,422,Principal,,linda.white@medford.k12.or.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
Mcminnville Adventist Christian School – Mcminnville,Mcminnville Adventist Christian School,,,,1349 NW Elm St,Mcminnville,OR,97128,Yamhill,503-472-3336,PK,8,Other,Private,Regular School,,,,http://www.mac-school.org/article/15/contact-us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
