Camp Name,Camp Owner,County,Website,Contact Name,Role,Email,Phone,Camp physical address,Camp mailing address,Do you currently provide facilities for outdoor school program(s)?,"If yes, please list school(s) and/or district(s) you serve:","If yes, list the number of weeks you provide & number of students served each school year:",Camp capacity follow-up: provided ODS in Spring 2016?,"If yes, is your camp utilized at full capacity? Or would you be able to host additional schools/providers?",Camp capacity follow-up: at full capacity?,Camp capacity follow-up comments,"If you do NOT currently provide facilities for outdoor school programs, have you done so in the past? ","If yes, please list schools and/or districts previously served, and when: ","If yes, why did you stop providing facilities for outdoor school programs? ","If you do NOT currently provide facilities to outdoor school programs, are you interested in doing so?","If no, please share your reason(s): ",Does your facility currently offer its own outdoor school program(s)?,"If yes, please describe your program(s). List web pages, if available: ","If yes, checkmark the academic standards with which the curriculum aligns (check all that apply):","Please list/explain any other specialty programming or resources your camp offers: (Art studio, blacksmithing, archery, etc.)","If you do not currently provide outdoor school programs, are you interested in doing so?","Does your camp have, or can it secure, liability insurance that meets the industry standard?",Does your camp provide program staff?,Does your camp provide a nurse or other health care professional?,Does your camp provide maintenance staff?,Does your camp provide food service staff?,Does your camp provide custodial/cleaning staff?,Is at least one of your staff (such as a caretaker) onsite at all times while camp is in session?,Camp acreage,Maximum overnight capacity,Maximum dining capacity,Does your camp have a commercial kitchen?,Dietary Needs?,Is your camp ACA accredited?,Please list any other accreditation:,Please checkmark the facilities at your camp that are ADA accessible: (Check all that apply),Are current/potential field study areas ADA accessible?,"If no, could reasonable accommodations be made to ensure all students can participate in field studies?",Please describe any accommodations needed:,"Please checkmark facilities that are weatherized (heat and insulation): (Check all that apply)

",Please checkmark your camp's bathroom facilities: (Check all that apply),Any additional information about your bathroom facilities:,Choose seasons your facility is/can be available for outdoor school: (Check all that apply),Any additional information about your seasonal availability:,Do you have sleeping units available for adult staff that are separate from student sleeping units?,"If yes, please describe: ","Other amenities/field study resources: Most outdoor school programs teach 4 field studies: water, soil, plants and animals. (Check all that apply) Ropes Course, Climbing wall, Pool, Forested Areas, Meadowland, Trails.",Campfire space(s)?,"If yes, how many and seating capacity of each campfire:","Access to water (lake, pond, river, stream, etc.)","If yes, please describe: ",Covered outdoor spaces?,"If yes, how many and dimensions: ",Other amenities/resources?,Please describe the other amenities/resources,Is there any other information about your facility you’d like us to know?,Please list any other camps in your region that might be interested in participating:,"To receive updates on the progress to fund and implement the Outdoor School Law, please list names and email(s) below:","Notes
","""Notes by Friends of Outdoor School
""",Schools,Coordinates,lon,lat,Schools
Camp Low Echo,,Klamath,,,,,,Camp Low Echo Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed for renovations until 2018,Does not have 4 ADA accessible sleeping units,,,-119.198495,45.7420933,
Camp Ukandu,,,http://campukandu.org/,Haelynne Barron,Director,director@campukandu.org,503.276.2178,Camp Ukandu Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not own their own facility,,,,-122.6748427,45.5184543,
Camp Wallace Creek,,Lane,,,,,,Camp Wallace Creek Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Closed,Does not own their own facility.,,,,,
Chewelah Peak,,"Stevens, WA",http://www.awsplearningcenters.org/chewelahpeak/,,,Bill@chewelahpeak.org,(509) 935-7400,"3215 Flowery Trail Road, Chewelah, WA 99109","3215 Flowery Trail Road, Chewelah, WA 99109",,,,,,,,,,,,,,,,"Challenge course, snow shoeing",,,Yes,,,Yes,,,,275,200+,Yes,,,,,,,,,,,,,,,"Trails, basketball, gold panning, play field, drainage pond",Campfire spaces,200,likely,,Yes,Covered outdoor fire pit for small group campfires outside Learning StudioCovered pavilion with bench-seating and quick-access bathroom,,,,,,Far from Oregon - in NE WA,Does not have 4 ADA accessible sleeping units,,,-117.5750651,48.3116653,
High Cascade Camp,,Clackamas,http://www.highcascade.com/,Kasey Sheldon- Courtney was contact,Camp Relations Manager,office@highcascade.com,503.206.8520,"30510 East Blossom Trail, Government Camp, Oregon 97028","P.O. Box 368 Government Camp, Oregon 97028",,,,,,,,,,,,,,,,,,,,Yes*,,,,,"22,000?",92?,,,,,,,,,,,,,,,,,,,,,,,,,,100% snowboarding camp,,,Year-round snow problematic for field studies; limited seasonal availability due to use as a snowboard camp,,,,,,
Kiwanis Sky Camp,,Lane,http://skycamporegon.weebly.com,,,terry.wiebke@springfield.k12.or.us,541-937-3355,"83930 Peninsula Rd, Fall Creek, OR 97438",,,,,,,,,,,,,,,,,"lake,",,,,,,,,,100,164,,yes,,,,,,,,,,,,,,,forested areas,,,Access to water,lake,,,,,,,,Chalets + limited camping,,"Agnes Stewart Middle School – Springfield, Elmira Elementary School – Elmira, Veneta Elementary School – Veneta, Pleasant Hill High School – Pleasant Hill, Two Rivers Dos Rios Elementary School – Springfield",,-122.7173256,43.9506911,Cesar Chavez Elementary School – Eugene
Lost Valley Education and Event Center,,Lane,http://lostvalley.org/,Justin Michelson,Executive Director,judtin@lostvalley.org,206-9354,81868 Lost Valley Ln. Dexter OR 97431,,,,,,,,,,,,,,,,,"Sustainable education program, gardens, sauna, hot tub, pool,",,,,,,Yes*,,,88,100+,300+,yes,"100% organic Vegetarian kitchen. vegan and gluten-free options, and can easily accommodate restricted diets.",,,,,,,"All sleeping units, Dining hall. Bathroom facilities","Plumbed toilets in sleeping unit, Showers in sleeping unit",,,,,,"Trails,  forested areas, meadowland",,,Access to water,"stream, pond",,,,,,,,"Dorms, private rooms, camping",Day camp only. At same facility as 4-H*****,,,-122.8221006,43.8902246,
Many Hands Community Hills,,Lane,http://manyhandscommunity.com/?page_id=67,Many Hands,,manyhands@manyhandscommunity.com,541-485-8815,30612 Butterfly lane Eugene OR 97405,,No,,,,,,,no,,,no,"Don't have the right facilities, lots of posion oak, not a good fit.",no,,,,,,,,,,,,77,,,Not yet,,No,,,,,,,,,,,,,,,,Acess to water,"pond, wetlands",,,,,"he Many Hands Community Center will feature rainwater catchment systems, organic gardening, permaculture landscaping, a photovoltaic electric system, a passive solar hot water system, constructed wetlands, composting, fluorescent lighting, and natural building (strawbale walls, earthen plaster, cob construction, passive solar design, and whenever possible, use of recycled and sustainably harvested lumber).",,,"Camp reported said they wouldn't be a good fit: Has lots of poison oak, not the right facilities, no commercial kitchen.",Sleeping units and showers are not ADA accessible; short 50 dining seats; dining hall and bathrooms are not weatherized,,,,,
Oregon Camp Cedarbrook,,,http://oregoncampcedarbrook.com/faq/,Marjie “Tweety” Randall,Camp Director,"director@oregoncampcedarbrook.com, info@oregoncampcedarbrook.com",,"79551 N Morrow Rd, Tygh Valley, OR 97063","10515 NW Lee Street
Portland, Oregon 97229",,,,,,,,,,,,,,,,"Archery, fishing, drama conoeing, sports",,,,Yes*,,,,,,,,,,Yes,Association of Cederbrook Camps member,,,,,,,,,,,,"trails, climbing wall",campfire spaces,,Access to water,lake,,,,,,,,Oregon Camp Cederbrook does not own the facilities they use; Camp Morrow does,,,,-121.3075553,45.2542374,
6 Ranch,,Wallowa,,,,,,"66799 Sunrise Rd, Enterprise, OR 97828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Joseph Charter School – Joseph, Imnaha School – Imnaha",,,,
Williamson Campground,,Wallowa,,,,,,"Williamson Campground Wallowa, OR 97855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-117.4573134,45.5180461,
Canby Grove,"Mantis Properties, LLC",Clackamas,jump-in.org,Shelly Goeppner,Sales Manager,shelly@jump-in.org,503-490-4390,"7501 S. Knights Bridge Road, Canby, OR. 97013","7501 S. Knights Bridge Road, Canby, OR. 97013",Yes,Multnomah County,14-16 Weeks,,"Yes, we are at full capacity",,,,,Polk County changed their program,,,No,,,"Summer Camp Program - swimming, archery, crafts, teaching",,Yes,Specifically Canby Grove Programmed Events are staffed by Canby Grove Employees.  Not for Outdoor School or groups renting our facilities for their own programs.,Yes - for Canby Grove - Jump-In Events Only.  Not for Outdoor School Programs or events that rent our facilities.,Yes,Yes,Yes,Yes,75,550+,375 at a time,Yes,"Gluten Free, Dairy Free, Nut Free, Vegan & Vegetarian",No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s)",Yes,,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Plumbed toilets in sleeping unit, Showers in separate bathroom facility",All Bunkhouses and Cabins require guests to use central restroom and shower facilities.  We do have a Hotel Facility with 37 sleeping rooms and full bathroom facilities.,"Winter, Spring, Fall",,Yes,,"Pool, Forested areas, Meadowland, Trails",Campfire space(s),"200 at one site, 10-12 at 3 others.","Access to water (lake, pond, river, stream, etc.)",Canby Grove has beachfront property on the Molalla River.  We also have a swimming pool.  However the pool is seasonal and not available in early spring or late fall.,Covered outdoor spaces,our Gazebo is an Octagon shape about 25 feet across,,,,,,,Appears to no longer exist. Cannot determine physical location in order to determine if another camp is active at the location.,"Danebo Elementary School – Eugene, Parkrose Middle School – Portland, Creston Elementary School – Portland, George Middle School – Portland, Harrison Park School – Portland, Lane Middle School – Portland, Mt Tabor Middle School – Portland, Ockley Green Middle School – Portland, Open School North – Portland, Sabin K-8 School – Portland, Sellwood Middle School – Portland, Riverdale Grade School – Portland, Beaumont Middle School – Portland",,-122.7112473,45.2680863,
McCall Outdoor Science School,,Idaho,,,,,(888) 634-3918,"1800 University Ln, McCall, ID 83638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adrian Elementary School – Adrian, Willowcreek Elementary School – Vale",,-116.0895824,44.9275555,
Trickle Creek,,,,,,,,"4 H Rd NW, Salem, OR 97304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alder Creek Middle School – Milwaukie, Athey Creek Middle School – West Linn, Bonny Slope Elementary School – Portland, Cedar Park Middle School – Portland, Fowler Middle School – Tigard, Gaston Elementary School – Gaston, Happy Valley Middle School – Happy Valley, Hazelbrook Middle School – Tualatin, Highland Park Middle School – Beaverton, Inza R Wood Middle School – Wilsonville, Lake Oswego Middle School – Lake Oswego, Lenox Elementary School – Portland, Lincoln Street Elementary School – Hillsboro, Mountain View Middle School – Beaverton, Neah-Kah-Nie Middle School – Rockaway Beach, North Plains Elementary School – North Plains, Our Lady Of The Lake School – Lake Oswego, Rock Creek Middle School – Clackamas, Rosedale Elementary School – Hillsboro, Rosemont Ridge Middle School – West Linn, Sacred Heart Catholic School – Gervais, St James Catholic Schools – Mcminnville, Touchstone School – Lake Oswego, Twality Middle School – Tigard, W Verne McKinney Elementary School – Hillsboro, Witch Hazel Elementary School – Hillsboro, Yamhill Carlton Intermediate School – Yamhill",,-123.1368268,45.0052833,
Jawbone Flats,Opal Creek Ancient Forest Center,Marion,http://www.opalcreek.org/outdoor-school/overview/,Katie Ryan,Executive Director,kryan@opalcreek.org,541-350-9110,"Jawbone Flats National Forest Development Road 2209 (Trail), Gates, OR 97346","721 NW 9th Ave, Suite 236 Portland, OR 97209",Yes,"Portland Public, Salem Public, Bend La Pine Public, Washington",18 weeks; 1500 students,,"Yes, we are at full capacity with a waiting list of schools",,,,,,,,Yes,http://www.opalcreek.org/programs/school-programs/,Oregon Science Standards (Next Generation Science Standards),summer backpacking prograns; family and adult workshops in topics ranging from mushrooms to yoga,,Yes,Yes,No,Yes,Yes,Yes,Yes,15,65,70,Yes,"Our kitchen is vegetarian, so all meals are naturally vegetarian. In addition we can accommodate any other dietary need (gluten free, nut free, vegan, dairy free, etc)",No,,"3 or less of sleeping units, Showers",Would need more information to determine,Would need more information to determine,"Dining hall needs to be ADA accessible, as well as bunkhouse","All sleeping units, Dining hall, Bathroom facilities","Composting toilets, Plumbed toilets in sleeping unit, Showers in sleeping unit",,"Spring, Summer, Fall",,Yes,We have other cabins available- but our policy is that all adult chaperones stay with the students.,"Forested areas, Meadowland, Trails",,,"Access to water (lake, pond, river, stream, etc.)","Jawbone sits at the confluence of two mountain streams, and along the banks of the Little North Fork of the Santiam River",Covered outdoor spaces,1,Other amenities/resources,classroom building for presentations and lab work,We run our own outdoor school with professional instructors.  We do not allow schools to run their own programs at our site.,,,,,"Molalla Elementary School – Molalla, Springwater Environmental Sciences School – Oregon City, Jefferson Middle School – Jefferson, Jane Goodall Environmental Middle School Charter School – Salem, Micha-el School – Milwaukie, Portland Village School – Portland, Portland Waldorf School – Milwaukie, Renaissance School of Arts and Sciences – Portland, Valley Inquiry Charter School – Salem, Village School – Eugene, Abiqua School – Salem, Westside Village Magnet School at Kingston Elementary School – Bend, Clarkes Elementary School – Mulino, Emerson School – Portland, Opal School of the Portland Children's Museum – Portland, Paisley Distance Learning Program – Paisley, Rural Dell Elementary School – Molalla, Willamette Primary School – West Linn",,-122.2094206,44.8464443,
Beverly Beach State Park,,,,,,,,"198 NE 123rd St, Newport, OR 97365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Springwater Environmental Sciences School – Oregon City,,-124.0552256,44.7259828,
Oregon Zoo,,,http://www.oregonzoo.org/discover/field-trips-and-school-programs/zoosnooze,,,,,Oregon Zoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Hills Montessori School-Vermont – Portland,,-122.7159015,45.5100418,
Camp Lutherwood,,,http://lutherwoodoregon.org/,,,,,Camp Lutherwood Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,River Road / El Camino del Río Elementary School – Eugene,,-123.4393155,44.166139,Creswell Middle School – Creswell
Sam Brown Campground,,,,,,,,"Sam Brown Horse Camp Grants Pass, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Middle School – Grants Pass,,-123.6842591,42.4439489,
LaPine State Park,,,,,,,,LaPine State Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amity Elementary School – Amity,,-121.5289543,43.7639365,
Camp Koinonia,,,,,,,,"43062 N River Dr, Sweet Home, OR 97386",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise Elementary School – Albany, Central Linn Elementary School – Halsey",,-122.680427,44.414354,
Klamath Outdoor Science School,Klamath Outdoor Science School,Klamath,klamathoutdoorschool.org,Bill Hunt,Executive Director,billhuntkoss@gmail.com,541-850-8218,"560101 Sun Mountain Rd, Fort Klamath, OR 97623","PO Box 721, Klamath Falls, OR 97601",Yes,"Klamath City, Klamath County, Ashland, Talent, Medford, Eagle Point, Brookings, Tule Lake","minimum 9, 720",,"No, we are able to host additional schools",,,,,,,,Yes,,Oregon Science Standards (Next Generation Science Standards),"Summer - Art, Dance, Theater",,Yes,Yes,We have highly trainied medical staff some at EMT levels,Yes,Yes,Negotiable,Yes,only ten acres is used for facility,100,100,Yes,So far all reguests have been met,No,,"3 or less of sleeping units, Toilets, Showers, Dining hall, Campfire space(s), We are building the ADA showers this spring",We have one trail that has one short section that is not reccomended. All other field study areas can be utilized by all participants,Yes,,"All sleeping units, Dining hall, Bathroom facilities","Plumbed toilets in separate bathroom facility, Showers in separate bathroom facility, Restrooms are beiing upgraded this season. Showers are separate from bulk of students toilet facilities",,"Spring, Summer, Fall",Winter programs will start in 2016-17 school year,Yes,16 foot yurts. and portable domes,"Forested areas, Trails",Campfire space(s),120,"Access to water (lake, pond, river, stream, etc.)","stream, spring and pond/lake",Covered outdoor spaces,1 20'x40' canvas and four movable domes,,,,,,,,"Pelican Elementary School – Klamath Falls, Bonanza Elementary School – Bonanza, Roosevelt Elementary School – Klamath Falls",,-121.979607,42.7108137,Sage Community School – Chiloquin
Oakridge Fish Hatchery,,,,,,,,"Fish Hatchery Rd
Oakridge, OR 97463",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oakridge Elementary School – Oakridge,,-122.4421407,43.7404325,
Kiwanis Camp,,,,,,,,"At Kiwana’s Cabins up on the Umatilla River, about 45 minutes from Pendleton.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunridge Middle School – Pendleton, Stanfield Elementary School – Stanfield",,-118.1152259,46.0004156,
Tupper Workstation,,,,,,,,"Bull Prairie Lake
Oregon 97836",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ione Community Charter School – Ione, Heppner Elementary School – Heppner, Echo School – Echo, Arlington Community Charter School – Arlington",,-119.6623264,44.9741674,
Harris Park,,,http://www.umatillacounty.net/Parks/index.html,,,,,"78689 S Fork Walla Walla River Rd, Milton-Freewater, OR 97862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freewater Elementary School – Milton-Freewater,,-118.1780154,45.8342623,
Blue Mountain Conservancy,Blue Mountain Conservancy,Union,,,,,,"La Grande, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grande Ronde Academy – La Grande,,-118.0877188,45.3245771,
